TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
int	CONVERT TO UINT4 LENGTH	ATTRIBUTE	V P NM N	Java	drill	https://github.com/apache/drill
bool*	copy primitives from	FUNCTION	V NPL P	C++	panda3d	https://github.com/panda3d/panda3d
bool	copy this file	FUNCTION	V DT N	C++	panda3d	https://github.com/panda3d/panda3d
DrillCostBase	cost 1	DECLARATION	N D	Java	drill	https://github.com/apache/drill
int	count 1	PARAMETER	N D	C	git2r	https://github.com/ropensci/git2r
uint32_t	count 32	DECLARATION	N D	C	weechat	https://github.com/weechat/weechat
class	Cout Stream	CLASS	NM N	C++	freeminer	https://github.com/freeminer/freeminer
float	cp 0	DECLARATION	N D	C	ccv	https://github.com/liuliu/ccv
ContentParamType2	cpt 2	DECLARATION	N D	C++	freeminer	https://github.com/freeminer/freeminer
class	Cropping 1D	CLASS	N NM	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
ConvertSupport	cs 2	PARAMETER	N D	C++	drill	https://github.com/apache/drill
LdapContext	ctx 2	DECLARATION	N D	Java	Openfire	https://github.com/igniterealtime/Openfire
class	CuDNN Deconvolution Layer	CLASS	PRE NM N	C++	caffe	https://github.com/BVLC/caffe
WhichMemory	data or diff	PARAMETER	N CJ N	C++	caffe	https://github.com/BVLC/caffe
SelectionVector4	data Sv 4	PARAMETER	NM N D	Java	drill	https://github.com/apache/drill
Decimal38DenseWriter	decimal 38 Dense	FUNCTION	N D NM	Java	drill	https://github.com/apache/drill
int	DECIMAL 38 DENSE VALUE	ATTRIBUTE	NM D NM N	Java	drill	https://github.com/apache/drill
Class	declared Type 1	PARAMETER	NM N D	Java	guava	https://github.com/google/guava
DrillBuf	decompress Page V 1	FUNCTION	V N NM D	Java	drill	https://github.com/apache/drill
class	Deconvolution 2D	CLASS	N NM	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
class	Deconvolution 3D	CLASS	N NM	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
class	Deconvolution 3D Param Initializer	CLASS	NM NM NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
class	Deconvolution Layer	CLASS	NM N	C++	caffe	https://github.com/BVLC/caffe
class	Deconvolution Param Initializer	CLASS	NM NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
String	default S3 Bucket	ATTRIBUTE	NM NM N	Java	Singularity	https://github.com/sylabs/singularity
class	Depthwise Convolution 2D	CLASS	NM N NM	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
int	description 2	ATTRIBUTE	N D	C	weechat	https://github.com/weechat/weechat
int	DESTINATION OPTIONS V6	ATTRIBUTE	NM NPL NM	Java	drill	https://github.com/apache/drill
bool	Destroy Usr 1 Handler	FUNCTION	V N D N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int*	dissect acdr ip or other	FUNCTION	V NM N CJ N	C	wireshark	https://github.com/wireshark/wireshark
PN_stdfloat	dist 2	ATTRIBUTE	N D	C++	panda3d	https://github.com/panda3d/panda3d
igraph_integer_t	distance 12	PARAMETER	N D	C	rigraph	https://github.com/igraph/rigraph
class	DL4J Invalid Input Exception	CLASS	PRE NM NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
bool	do adjust this size	FUNCTION	V V DT N	C++	panda3d	https://github.com/panda3d/panda3d
void	do all sorted fn	FUNCTION	V DT V N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
uint32_t	dot3 ad Agg Port Attached Agg ID	ATTRIBUTE	PRE PRE PRE PRE NM NM N	C	ovs	https://github.com/openvswitch/ovs
Icon	down Icon	ATTRIBUTE	NM N	Java	Spark	https://github.com/apache/spark
int	dp if index	ATTRIBUTE	PRE NM N	C	ovs	https://github.com/openvswitch/ovs
int*	dps for each	FUNCTION	N P DT	C	ovs	https://github.com/openvswitch/ovs
PandaNode*	dupe for flatten	FUNCTION	V P V	C++	panda3d	https://github.com/panda3d/panda3d
GUID	DX7 Device GUID	ATTRIBUTE	NM NM N	C	panda3d	https://github.com/panda3d/panda3d
E	e 3	PARAMETER	N D	Java	guava	https://github.com/google/guava
E	e 8	PARAMETER	N D	Java	guava	https://github.com/google/guava
void	each seen event	FUNCTION	DT NM N	C++	meta	https://github.com/meta-toolkit/meta
igraph_vector_int_t	edge color 2	PARAMETER	NM N D	C	rigraph	https://github.com/igraph/rigraph
igraph_vector_t	edge map 2	PARAMETER	NM N D	C	rigraph	https://github.com/igraph/rigraph
igraph_inclist_t	edges per node	PARAMETER	NPL P N	C	rigraph	https://github.com/igraph/rigraph
ASTNodeInfo	else Info	DECLARATION	NM N	C++	cling	https://github.com/root-project/cling
Stmt	else Replacement	DECLARATION	NM N	C++	cling	https://github.com/root-project/cling
MinorType	else Type	DECLARATION	NM N	Java	drill	https://github.com/apache/drill
boolean	enable Push down	ATTRIBUTE	V V P	Java	drill	https://github.com/apache/drill
int	ENCAPSULATING SECURITY V6	ATTRIBUTE	NM N NM	Java	drill	https://github.com/apache/drill
unsigned	encode only	PARAMETER	V VM	C	libxo	https://github.com/Juniper/libxo
int	end for	DECLARATION	V N	C	freeminer	https://github.com/freeminer/freeminer
DrillbitEndpoint	endpoint 1	PARAMETER	N D	Java	drill	https://github.com/apache/drill
DrillbitEndpoint	endpoint 2	PARAMETER	N D	Java	drill	https://github.com/apache/drill
boolean	enough Memory	FUNCTION	DT N	Java	drill	https://github.com/apache/drill
Object	entry 1	PARAMETER	N D	Java	guava	https://github.com/google/guava
Client_data	entry 2	DECLARATION	N D	C	toxcore	https://github.com/TokTok/c-toxcore
git_tree_entry	entry out	PARAMETER	NM N	C	git2r	https://github.com/ropensci/git2r
char*	Err no	FUNCTION	NM N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
void*	error 2	FUNCTION	N D	C	rigraph	https://github.com/igraph/rigraph
boolean	error On 400	ATTRIBUTE	N P D	Java	drill	https://github.com/apache/drill
auto	even	DECLARATION	NM	C++	meta	https://github.com/meta-toolkit/meta
int	even dist	PARAMETER	NM N	C	ccv	https://github.com/liuliu/ccv
bool	even split	PARAMETER	NM N	C++	meta	https://github.com/meta-toolkit/meta
JsonParseException	ex 1	PARAMETER	N D	Java	drill	https://github.com/apache/drill
Except	except	PARAMETER	N	Java	drill	https://github.com/apache/drill
__int64	exit 64	DECLARATION	N D	C++	panda3d	https://github.com/panda3d/panda3d
CODE*	expression 7	FUNCTION	N D	C	rigraph	https://github.com/igraph/rigraph
CODE*	expression 8	FUNCTION	N D	C	rigraph	https://github.com/igraph/rigraph
bool	extend by hexahedron	FUNCTION	V P N	C++	panda3d	https://github.com/panda3d/panda3d
PackOutFunc	f out	ATTRIBUTE	N NM	C++	freeminer	https://github.com/freeminer/freeminer
double	f1 score	FUNCTION	NM N	C++	meta	https://github.com/meta-toolkit/meta
int	fan in	DECLARATION	N P	C++	caffe	https://github.com/BVLC/caffe
uint64_t	features per class	DECLARATION	NPL P N	C	meta	https://github.com/meta-toolkit/meta
_NXMapTable	field 37	ATTRIBUTE	N D	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int	field 4	ATTRIBUTE	N D	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int	field 63	ATTRIBUTE	N D	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
class	File 2 Page App	CLASS	N P NM N	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int	file no	PARAMETER	NM N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
NodePathCollection	find all matches	FUNCTION	V DT NPL	C++	panda3d	https://github.com/panda3d/panda3d
TextureCollection*	find all textures	FUNCTION	V DT NPL	C++	panda3d	https://github.com/panda3d/panda3d
unsigned	flag within	ATTRIBUTE	N P	C	git2r	https://github.com/ropensci/git2r
int	FLOAT4 VALUE	ATTRIBUTE	NM N	Java	drill	https://github.com/apache/drill
Reporter	for Annotation	FUNCTION	NM N	Java	immutables	https://github.com/immutables/immutables
boolean	for Attribute	ATTRIBUTE	NM N	Java	immutables	https://github.com/immutables/immutables
linear_model	for avg	DECLARATION	P N	C++	meta	https://github.com/meta-toolkit/meta
boolean	for Backprop	PARAMETER	P N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
TypeDescriptor	for Class	FUNCTION	P N	Java	drill	https://github.com/apache/drill
DrillConfig	for Client	FUNCTION	P N	Java	drill	https://github.com/apache/drill
Visibility	for Implementation	FUNCTION	P N	Java	immutables	https://github.com/immutables/immutables
void*	for num	FUNCTION	NM N	C	freeminer	https://github.com/freeminer/freeminer
MinorType	for Number	FUNCTION	P N	Java	drill	https://github.com/apache/drill
Set	for Resource	FUNCTION	P N	Java	drill	https://github.com/apache/drill
ProxyInfo	for Socks4 Proxy	FUNCTION	P NM N	Java	Smack	https://github.com/igniterealtime/Smack
boolean	for Unknown Schema	PARAMETER	P NM N	Java	drill	https://github.com/apache/drill
bool	force nd im 2 col	ATTRIBUTE	V NM N P N	C++	caffe	https://github.com/BVLC/caffe
vector	forward time per layer	DECLARATION	NM N P N	C++	caffe	https://github.com/BVLC/caffe
double	fp irand 224	FUNCTION	NM N D	C	rigraph	https://github.com/igraph/rigraph
bool	fp on	ATTRIBUTE	N P	C++	rigraph	https://github.com/igraph/rigraph
void	fprint all protocols for layer types	FUNCTION	V DT NPL P NM NPL	C	wireshark	https://github.com/wireshark/wireshark
state_id	from	PARAMETER	P	C	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
char	from	PARAMETER	P	C++	meta	https://github.com/meta-toolkit/meta
T	from Bytes	FUNCTION	P NPL	Java	Singularity	https://github.com/sylabs/singularity
ThreadContext	from context	PARAMETER	P N	C	panda3d	https://github.com/panda3d/panda3d
boolean	from Docker Config	ATTRIBUTE	P NM N	Java	Singularity	https://github.com/sylabs/singularity
String	from Email	PARAMETER	P N	Java	Openfire	https://github.com/igniterealtime/Openfire
FromHeader	from Header	ATTRIBUTE	P N	Java	Spark	https://github.com/apache/spark
uint8_t	from id	PARAMETER	P N	C	toxcore	https://github.com/TokTok/c-toxcore
boolean	from Inclusive	PARAMETER	P N	Java	guava	https://github.com/google/guava
class	from Iterator	CLASS	P N	Java	guava	https://github.com/google/guava
JID	from JID	PARAMETER	P N	Java	Openfire	https://github.com/igniterealtime/Openfire
K	from Key	PARAMETER	P N	Java	guava	https://github.com/google/guava
StanzaFilter	from Room Filter	ATTRIBUTE	P NM N	Java	Smack	https://github.com/igniterealtime/Smack
boolean	from Server	PARAMETER		Java	Openfire	https://github.com/igniterealtime/Openfire
SelectionVector4	from SV 4	PARAMETER	P N D	Java	drill	https://github.com/apache/drill
int	from Y	PARAMETER	P N	Java	Spark	https://github.com/apache/spark
int*	fts5 MultiIter Do Compare	FUNCTION	PRE PRE V V	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
void*	fts5 Seg Iter Clear	FUNCTION	PRE NM N V	C	ccv	https://github.com/liuliu/ccv
fts5yyParser	fts5 yyp Parser	PARAMETER	PRE NM N	C	ccv	https://github.com/liuliu/ccv
char*	function and data	DECLARATION	N CJ N	C	weechat	https://github.com/weechat/weechat
bool	g curand availability logged	DECLARATION	PRE NM N V	C++	caffe	https://github.com/BVLC/caffe
objectlist	g next	DECLARATION	PRE DT	C	naemon-core	https://github.com/naemon/naemon-core
int*	generate key or iv	FUNCTION	V N CJ N	C	wireshark	https://github.com/wireshark/wireshark
void	Generate Prolog 1	FUNCTION	V N D	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
string	get a1	FUNCTION	V N	C++	panda3d	https://github.com/panda3d/panda3d
String	get B64 Data	FUNCTION	V NM N	Java	Smack	https://github.com/igniterealtime/Smack
LVecBase2d	get data 2d	FUNCTION	V N NM	C++	panda3d	https://github.com/panda3d/panda3d
LVecBase4d	get data 4d	FUNCTION	V N NM	C++	panda3d	https://github.com/panda3d/panda3d
LVecBase4i	get data 4i	FUNCTION	V N NM	C++	panda3d	https://github.com/panda3d/panda3d
int	get Decimal 9 From Big Decimal	FUNCTION	V N D P NM N	Java	drill	https://github.com/apache/drill
time_t	get last modified	FUNCTION	V DT N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
JLabel	get Look and feel Label	FUNCTION	V NM CJ NM N	Java	Spark	https://github.com/apache/spark
long	get next comment id	FUNCTION	V DT NM N	C	naemon-core	https://github.com/naemon/naemon-core
xmlChar*	get next marker	FUNCTION	V DT N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
long	get Part 2	FUNCTION	V N D	Java	drill	https://github.com/apache/drill
LPoint3	get position world on a	FUNCTION	V NM N P N	C++	panda3d	https://github.com/panda3d/panda3d
bool	get U 16 No Ex	FUNCTION	V N D DT N	C++	freeminer	https://github.com/freeminer/freeminer
int*	git delta read header from stream	FUNCTION	PRE PRE V N P N	C	git2r	https://github.com/ropensci/git2r
int	git diff commit as email	FUNCTION	PRE PRE N P N	C	git2r	https://github.com/ropensci/git2r
int	git fs path to dir	FUNCTION	PRE NM N P N	C	git2r	https://github.com/ropensci/git2r
size_t	git off map size	FUNCTION	PRE NM NM N	C	git2r	https://github.com/ropensci/git2r
int*	git repository head detached for work tree	FUNCTION	PRE PRE N V P NM N	C	git2r	https://github.com/ropensci/git2r
void	gl M 3 Inv	FUNCTION	PRE N D N	C++	panda3d	https://github.com/panda3d/panda3d
void	group with	FUNCTION	V P	C++	panda3d	https://github.com/panda3d/panda3d
GsonBuilder	gson Builder	DECLARATION	NM N	Java	immutables	https://github.com/immutables/immutables
void*	gui buffer local var remove all	FUNCTION	PRE PRE NM N V DT	C	weechat	https://github.com/weechat/weechat
void	gui buffer set time for each line	FUNCTION	PRE PRE V N P DT N	C	weechat	https://github.com/weechat/weechat
void*	gui input search next	FUNCTION	PRE PRE V DT	C	weechat	https://github.com/weechat/weechat
int*	gui line has tag no filter	FUNCTION	PRE PRE V N DT N	C	weechat	https://github.com/weechat/weechat
void*	gui line mixed free all	FUNCTION	PRE PRE NM V DT	C	weechat	https://github.com/weechat/weechat
char*	gui mouse event code 2 key	FUNCTION	PRE PRE NM N P N	C	weechat	https://github.com/weechat/weechat
void	gui nick hash sum 64	FUNCTION	PRE PRE NM N D	C	weechat	https://github.com/weechat/weechat
in6_addr	gw 6	PARAMETER	N D	C	ovs	https://github.com/openvswitch/ovs
auto	h 2 server	DECLARATION	N D N	C++	proxygen	https://github.com/facebook/proxygen
int	h if index	ATTRIBUTE	PRE NM N	C	ovs	https://github.com/openvswitch/ovs
int*	handle send 2	FUNCTION	V N D	C	toxcore	https://github.com/TokTok/c-toxcore
bool	has after destruct	ATTRIBUTE	V NM N	C	freeminer	https://github.com/freeminer/freeminer
bool	has each	DECLARATION	V DT	C++	panda3d	https://github.com/panda3d/panda3d
bool	has on activate	ATTRIBUTE	V P V	C	freeminer	https://github.com/freeminer/freeminer
bool	has run at least once	ATTRIBUTE	V V VM VM VM	C++	caffe	https://github.com/BVLC/caffe
bool	has Upgrade Token in Connection	DECLARATION	V NM N P N	C++	proxygen	https://github.com/facebook/proxygen
class	Hash 32 Functions	CLASS	N D NPL	Java	drill	https://github.com/apache/drill
class	Hash 64 Functions With Seed	CLASS	N D NPL P N	Java	drill	https://github.com/apache/drill
int	hash and save	FUNCTION	V CJ V	C	git2r	https://github.com/ropensci/git2r
float	hbp 1	DECLARATION	N D	C	ccv	https://github.com/liuliu/ccv
gboolean	header only	PARAMETER	N VM	C	wireshark	https://github.com/wireshark/wireshark
void	hide all switches	FUNCTION	V DT NPL	C++	panda3d	https://github.com/panda3d/panda3d
ObjectMapper	hocon Mapper	ATTRIBUTE	NM N	Java	drill	https://github.com/apache/drill
void	host 1	PARAMETER	N D	C	naemon-core	https://github.com/naemon/naemon-core
int	hosts down	DECLARATION	NPL VM	C	naemon-core	https://github.com/naemon/naemon-core
gint	how	PARAMETER	VM	C	wireshark	https://github.com/wireshark/wireshark
float	hp 1	DECLARATION	N D	C	ccv	https://github.com/liuliu/ccv
int	httperf 2	FUNCTION	N D	C++	proxygen	https://github.com/facebook/proxygen
int	i 1	PARAMETER	N D	Java	Openfire	https://github.com/igniterealtime/Openfire
igraph_error_t*	i graph all st min cuts	FUNCTION	PRE PRE DT NM NM NPL	C	rigraph	https://github.com/igraph/rigraph
class	Iax2 Analysis Tree Widget Item	CLASS	PRE NM NM NM N	C++	wireshark	https://github.com/wireshark/wireshark
IDAT	idat	ATTRIBUTE	N	C	mgba	https://github.com/mgba-emu/mgba
IDAT	idat var	PARAMETER	NM N	C	mgba	https://github.com/mgba-emu/mgba
char	idb 1 if description	DECLARATION	N D NM N	C	wireshark	https://github.com/wireshark/wireshark
LogicalExpression	if Condition	DECLARATION	NM N	Java	drill	https://github.com/apache/drill
IfElseWidthExpr	if Else Width Expr	PARAMETER	NM NM NM N	Java	drill	https://github.com/apache/drill
SqlNode	if Exists	ATTRIBUTE	NM N	Java	drill	https://github.com/apache/drill
IfExpression	if Expr	PARAMETER	NM N	Java	drill	https://github.com/apache/drill
JBlock	if Found	DECLARATION	CJ V	Java	drill	https://github.com/apache/drill
int	if index	ATTRIBUTE	NM N	C	ovs	https://github.com/openvswitch/ovs
ifinfomsg	if info	DECLARATION	NM N	C	ovs	https://github.com/openvswitch/ovs
char	if name	ATTRIBUTE	NM N	C	ovs	https://github.com/openvswitch/ovs
JBlock	if No Val	DECLARATION	CJ DT N	Java	drill	https://github.com/apache/drill
void	if notifier wait	FUNCTION	NM N V	C	ovs	https://github.com/openvswitch/ovs
PMIB_IF_TABLE2	if Table	PARAMETER	NM N	C	ovs	https://github.com/openvswitch/ovs
int	if Width	DECLARATION	NM N	Java	drill	https://github.com/apache/drill
int	igraph 2 w heap init	FUNCTION	PRE D VM N V	C	rigraph	https://github.com/igraph/rigraph
void	igraph err no	PARAMETER	NM NM N	C	rigraph	https://github.com/igraph/rigraph
int	igraph i get subisomorphisms vf 2 inner	FUNCTION	PRE PRE V NPL N D NM	C	rigraph	https://github.com/igraph/rigraph
bool	im 2 col	PARAMETER	N P N	C++	caffe	https://github.com/BVLC/caffe
INDArray	im 2 col 2d	DECLARATION	N P N NM	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
Image	image 1	PARAMETER	N D	Java	Spark	https://github.com/apache/spark
String	in Action Code	PARAMETER	PRE NM N	Java	Smack	https://github.com/igniterealtime/Smack
bool	in best path	ATTRIBUTE	P NM N	C++	rigraph	https://github.com/igraph/rigraph
Channel	in channel	PARAMETER	NM N	C++	drill	https://github.com/apache/drill
boolean	in Eclipse Compiler	ATTRIBUTE	P NM N	Java	immutables	https://github.com/immutables/immutables
Map	in Edges	PARAMETER	NM NPL	Java	guava	https://github.com/google/guava
Set	in Eq More Than Once	DECLARATION	P N DT CJ VM	Java	drill	https://github.com/apache/drill
int	in expected RPC Type	PARAMETER	PRE NM NM N	C++	drill	https://github.com/apache/drill
TypedFieldId	in Field Id	DECLARATION	NM NM N	Java	drill	https://github.com/apache/drill
double	in Flow New M	DECLARATION	NM NM NM N	C++	rigraph	https://github.com/igraph/rigraph
Context	in for	FUNCTION	P N	Java	immutables	https://github.com/immutables/immutables
HANDLE	in hand	DECLARATION	NM N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
void	in how	ATTRIBUTE	V VM	C	mgba	https://github.com/mgba-emu/mgba
Integer	in Index	PARAMETER	NM N	Java	drill	https://github.com/apache/drill
